Designator,Mid X,Mid Y,Rotation,Layer
D1,101.0,-56.5,270.0,top
D10,108.0,-56.5,270.0,top
D11,122.0,-56.5,270.0,top
D12,136.0,-56.5,270.0,top
D13,90.5,-56.5,270.0,top
D14,104.5,-56.5,270.0,top
D15,118.5,-56.5,270.0,top
D16,132.5,-56.5,270.0,top
D17,155.69,-44.0,0.0,top
D2,115.0,-56.5,270.0,top
D3,129.0,-56.5,270.0,top
D4,143.0,-56.5,270.0,top
D5,139.5,-56.5,270.0,top
D6,125.5,-56.5,270.0,top
D7,111.5,-56.5,270.0,top
D8,97.5,-56.5,270.0,top
D9,94.0,-56.5,270.0,top
SW1,98.73,-69.45,0.0,top
SW10,155.75,-53.4,0.0,top
SW11,117.81,-107.45,0.0,top
SW12,136.73,-107.45,0.0,top
SW13,155.81,-107.45,0.0,top
SW14,98.73,-126.45,0.0,top
SW15,117.81,-126.45,0.0,top
SW16,136.73,-126.45,0.0,top
SW17,155.81,-126.45,0.0,top
SW2,117.81,-69.45,0.0,top
SW3,136.73,-69.45,0.0,top
SW4,155.81,-69.45,0.0,top
SW5,98.73,-88.45,0.0,top
SW6,117.81,-88.45,0.0,top
SW7,136.73,-88.45,0.0,top
SW8,155.81,-88.45,0.0,top
SW9,98.73,-107.45,0.0,top
U1,125.125,-39.92,0.0,top
